,text,predicted_labels,confidence_score,annotation_correct
2716, good tip..... but then my boss would read .... exactly what im supposed to do and would know where I was with the project,,,0
2717, Star Trek is really good. I loved it too,,,0
2718,on my way to work! working sucks big time,,,0
2719,finally gonna get sum sleep  that concert was crazy!!! God Bless those ministers!!!,,,0
2720,IN $RF .94 - target $5.30.  OUT $DNDN @$21.85 near days low,,,0
2721,SF felt WAY too intense for me tonight. Hope that doesn`t keep up. Upset with myself for not hanging with  and pearl,,,0
2722, oh! so this could well be your last post!,,,0
2723, we are tooo fly boo,,,0
2724, most of the time,,,0
2725,school..  i wish it would just end already!,,,0
2726,"http://twitpic.com/67xv3 - Former Pawnshop were Jimi Hendrix got his 1st guitar, Seattle. Now a check cashing joint",,,0
2727, that`s sad  what kind of mess are you getting into this weekend?,,,0
2728,why are matters of the heart so complicated?,,,0
2729,haha I`m bored! I think I`ll go watch a movie  BBL,,,0
2730,I am very bummed that there are no babydoll or spaghetti-strap tank Three Wolf Moon t-shirts. Love the meme; hate wearing a fabric box.,,,0
2731," oh! Yeah,your mom told be about that.  I thought you meant his twitter ID & I was very confused. That sucks. Sick.",,,0
2732,"And i ain`t happy go lucky, its just today... The world don`t feel ugly",,,0
2733,"Editors read this and nod, writers read this and take notes.  http://tinyurl.com/crm4c2",,,0
2734,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,,,0
2735,Happy Mothers Day. Havent got mom a present yet? Print off an Amazon Gift Card for her!  http://snipurl.com/hq0n1,,,0
2736, thanks for your follow  just do you own thing + join in with what interests you,,,0
2737,_Jen LOL - I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,,,0
2738,im going to work,,,0
2739, We decided I`d probably forget I had it in my pocket and sit on it by accident,,,0
2740, I`m now a member of the street!!,,,0
2741," lol we are going to place called frosties its a soft play centre it knackers them lol, then i get peace for the gym  lol",,,0
2742,fell on the sidewalk in harvard square.  stupid cobblestones!  now my hand hurts,,,0
2743, aw honey... you just relaxin? That`s probably for the best.,,,0
2744," coooooooool, yes, CIWWAF are awesome.",,,0
2745,either my inerne is **** or my mind is but i`m pretty sure that it`s the internet,,,0
2746,"My dog is sick. I love that little doggie. He`s usually so keen and happy, but he doesn`t even want to go for a run in the forest today.",,,0
2747,_Mitchell i`ve never been to the opera before...don`t think that was me,,,0
2748,  I was SUPPOSED to be coming...life got in the way lol give my friends a wild time!!!,,,0
2749,ready for the weekend and sad that I have to be at the office again tomorrow morning,,,0
2750,  I`m @ work and missed everythin yesterday but don`t know wot? Anybody,,,0
2751,is sad that greg pritchard didnt make it through to the final of britains got talent coz he soooo deserved it,,,0
2752,is lets chat,,,0
2753,"Control which tweets u post on Facebook by using a hashtag, check out this awesome easy app!  http://apps.facebook.com/selectivetwitter/",,,0
2754,Baby was not herself after recieving vaccines,,,0
2755,Heading home. Could really have done without banging my head on the way into the bus,,,0
2756,_distel Maybe u have natural ability for languages  I envy u on that !!,,,0
2757,The cats are gone. All 3 of them.,,,0
2758,You such a good friend <3 I miss you so much,,,0
2759,"My Boy is leaving for the Summer, Going to stay with the Grandparents.. I`m gonna miss him!!",,,0
2760,It looks as though I am sick little friends,,,0
2761, bored,,,0
2762,Only just past 8am and already been spoiled rotton,,,0
2763, #wheniwerealad can you explain how that worked? lol  and no rude  explanations pleeezzze,,,0
2764,"Insomnia at its finest. Go to bed at 11:30, fully awake at 2. Grrr. Anyone want to call mee?",,,0
2765,I read 'The Picture of Dorian Gray' by Oscar Wilde (on english). It`s not easy for me but I try to make out,,,0
2766,I had the worst dream ever: the Lakers were losing 11 : ZIP  & Courney Cox had a mohawk wtf.,,,0
2767,"oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him",,,0
2768, sorry - didnt mean to   hope you can think positivly about being 80 and looking back on 30!,,,0
2769,I am chillin w/ my homies,,,0
2770," Dude you`re always going to midnight screenings! xD. I wish I lived in a city. Well, I do (until tmrw!) but it`s rubbish",,,0
2771,"don`t think that went well, was only in there for 15 mins",,,0
2772,i really want a blackberry  my sidekick is hella wack. night,,,0
2773, I`m glad you liked it   Want more?,,,0
2774, sorry i couldn`t fit hal`s name,,,0
2775,just watched that  new T-mobile advert on Youtube.. i love it  'hey jude!!!!!!',,,0
2776, how long did it take you to learn the song,,,0
2777, man that sucks.,,,0
2778,Morning world. Hello Bank Holiday! Cold and grey and rainy here. Feel like colouring thanks to  so might do that this am,,,0
2779,"just got back from the pool, need to ice the knee",,,0
2780,Mel? Where Are You You Shud Be Here At My House,,,0
2781," lol ik they are, but i figure i`ve kept it for a year+ without needing virus software or to get it fixed  sigh",,,0
2782,I am soo happy! Thank you baby for the best 1095 days of my life,,,0
2783, LOL. About to leave.,,,0
2784," aww , its ok,we ended up getting in later than expected and didnt go...I would of called you if we were able to, ...C U N Austin,",,,0
2785, well that does make me feel better about staying up even later to watch the daily show.   lay on the guilt again.,,,0
2786, Not a problem at all sis - respect due,,,0
2787,"   Sure!  My entire blogroll is terribly updated, but this could motivate me to update and redo it!",,,0
2788,_anstee i hope! its in expo! that would be amazing. im trying so hard to make perfection so it is.,,,0
2789,I`m really nervous about giving a speech at a wedding tomorrow,,,0
2790," nm. dang, you on NOW but i gotta bounce in like 4 minutes  i`m just chilling. the usual.",,,0
2791,Ooopps over slept. Is it really 10am? Best get up then and get my shizzle in gear,,,0
2792,_Reviews THANKS!,,,0
2793,"Sitting, wondering, & wishing for a bunch of stuff that will never be",,,0
2794,shower time,,,0
2795,lousy **** landlord.   need to focus on kid`s packing but cant . nevermind sew sleeping bag,,,0
2796, Going so soon? I was hoping to hear late nite humor from you....,,,0
2797,I am so full. No more food tonight... I don`t want no cake and ice cream at this party.,,,0
2798, that sucks mama,,,0
2799, I wish you weren`t going to a 19+ venue in Vancouver,,,0
2800, It is absolutely incredible. It`s official: My FAVORITE JONAS is FRANKIE. He is the man,,,0
2801,Happy Birthday to my ****,,,0
2802," I didnt mind the movie myself, may be because Im not that big a fangirl myself",,,0
2803," I`m not going, sadly.  Maybe next year, eh?",,,0
2804,surgery effin hurts,,,0
2805, Can you please  with that? I`d love some egg +bacon +ranch +bed for giving birth 3 times in 4 years!,,,0
2806,So bored... need more people for rsmv !!  jagex doesn`t let u say RSMV unless its the first word u say in the sentence.. sad,,,0
2807,"****, we have some kind of bugs in our house. And we dont know why or what it is",,,0
2808,Almost lost my phone.,,,0
2809,   ...Thank you Mr. President!....,,,0
2810," Ooo showing of your French skills!! lol Things good over here. Lovely weather, so should be outside  How`s u?",,,0
2811,The Star Trek movie was amazing! omg everyone has to go see it,,,0
2812, happy birthday,,,0
2813,Anotha day of work  not lookin forward i hate closin fri,,,0
2814,I`m entering a two month study/exam period.  Which is awesome. - See you on the flip side,,,0
2815," it`s best if i check it while it IS up. when it`s down, i can`t really see anything",,,0
2816,working from home office today and catching up on everything except twitter,,,0
2817,Lil cuz coming round today she 5  aww  haha,,,0
2818,My stomach effing hurts. Sadly there`ll be no gym class this afternoon,,,0
2819,Gotta go now .. i`m going to Circus .. the real Circus not Britney`s Tour  sadly ..,,,0
2820," the next single is 'Hey Lady'.ok, where is my million dollars??",,,0
2821,Goodmorning twitter bugs.. happy monday to you all! Today marks my first official day at my first fulltime job.. time to get ready!,,,0
2822, I have my 830 class  **** school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.,,,0
2823,"is back...been feeling ill and extremely busy all week. happy mother`s day, to all you mama`s out there",,,0
2824,*old me`s dead and gone*,,,0
2825,"it`s you and me forever ?, it`s you and me right now   flywithmeobsessive. Im crying",,,0
2826, sounds like the muffler bearings are going bad,,,0
2827,No credit left on my mobile sorry Brit! *pounces back* Thanksss Tania for the EPIC photoshoot,,,0
2828,"On a day like today I would wear shorts and tshirt, but now I`m at DHQ it`s office wear...",,,0
2829,can I just go to sleep and wake up in December when my house is all organized and the baby is here?.. feeling like poo today,,,0
2830, I think they make you turn your phones off  I`ll see what I can do!,,,0
2831,I wish I had company,,,0
2832,  aaaawww  would u like an alcoholic beverage of your choice?,,,0
2833,  My Power was cut off  thats where i went,,,0
2834,looks like it got cloudy again outside! and i have nothing to do tonight! boo friday,,,0
2835,"Home early, yeh! work to do over the weekend, $%$#@!!!! not happy!!! so much 4 a big1",,,0
2836,It was going to happen one day but I so feel for the girl AND her mum,,,0
2837,Stupid idiot who ran a stop sing and almost killed me and my car!,,,0
2838, didn`t have my camera with me  totally regretting it now!,,,0
2839, awww I wish I could have been there  I`m stuck here about to jab out my eyes with knitting needles,,,0
2840, braving the standby line @ TheView bright & early today!! hope to hear about your book & hope I get in! 3rd time`s the charm,,,0
2841, Good Luck,,,0
2842,im bored.. RC is goin maintenance,,,0
2843, can you follow me please?,,,0
2844,youtube not working,,,0
2845,Howdyyy,,,0
2846,Apple is expected to launch a new iPhone this summer.  Hi my name is Judy and I am addicted to Apple products.,,,0
2847,"  i definitely will , although with the caveat  that i normally only read non fiction..but have more in recent years read novels",,,0
2848,going through security already miss my baby.,,,0
2849,I don`t ship out until October,,,0
2850,Clambering about in crashed cars. Hilarious fun,,,0
2851,  yep! jimmy buffett FTW!!!... jimmy needs to tweet his words of wisdom every morning,,,0
2852,"maaate,grooovin was off the chain. uploading videos to youtube  www.youtube.com/sluzzaa  go watch!",,,0
2853,http://tr.im/kXCL `Immigrant hid passport in pants` What a genius.,,,0
2854," LOL good to know the time in LA, it`s a 9h time difference ...  good morning to ya",,,0
2855,nursing my scratches and bumps from Festivus mud wrestling. I swear there`s still dirt in my hair but a good time was had by all,,,0
2856, lol awww lol i will i can`t do it now lol cauz i have to work  but i will make one and tell you love you 2 oxoxoteambreezy,,,0
2857, she said no,,,0
2858,I can`t believe how fast this week has gone by,,,0
2859, Soooo happy your back!,,,0
2860,Listening to Obama with one ear & listening to music with the other,,,0
2861," , finally, someone spreading the Hayley Love via Twitter. Welcome to the club, Taylor.",,,0
2862," man, 4 months until we get to see what those drunk tweets were all about",,,0
2863, U no that little prob with ur twitter that happen @ that old pep resteraunt! mayb this will help u fix it,,,0
2864,missing loverboy so much,,,0
2865," Because pop culture is beautiful. Also, you can`t pull weeds wrong. I promise. You can practice on my yard if you are nervous",,,0
2866,Wishing all MOMs a very Happy Mother`s Day!!,,,0
2867,Cried my eyes out watching My Girl last period   hahah,,,0
2868,great party alenka!!  happy birthday chicky! <3,,,0
2869,"this time, i really need to shut it.. i`m going to sleep! my head aches badly and i really can`t take it..",,,0
2870,the sun is shinning! im off out!!,,,0
2871, lol. I see what you did there.,,,0
2872, heh coincidence im a barnsley fan too  how`d you track me down :o,,,0
2873,"Youtube`s tubes appear to be clogging up somewhat today, connection errors a plenty.",,,0
2874," sorry guys, the WAVVES show was canceled, they missed their flight",,,0
2875,and young ones....'look what I found'....'breakfast'....,,,0
2876,Just got my heart ripped out  i love you guys,,,0
2877,"going to my bff`s. haha. but thats in like 2 hourssss sooooo...calllll me. actually darn, i have hw",,,0
2878," unfortunately I know I would like them - which is why I am avoiding them,",,,0
2879, aww  cant wait till u get 2 Sydney ;D i missed out on tickets tho.. :O ****,,,0
2880, Thanks for the song! YouÃÂ¯ÃÂ¿ÃÂ½re awesome.  I can sing along all day!,,,0
2881,_lavish i told diamond to follow you. and why u aitn share the starburst,,,0
2882, was jus so excited t c ur name,,,0
2883,These difficult situation force us to think about marrying a lovable girl,,,0
2884,  you and I apparently  how are you?,,,0
2885,wishes he can just call her.  blah. it used to be so easy to move on. wtf happened?,,,0
2886,"good morning tweetie world.  have a great day, everyone.",,,0
2887,One of these times I`m going to have the self-awareness NOT to ask one of the principle mourners at a wake how they`re doing.,,,0
2888, Philly hasn`t played it yet!!!  You have to do something about that!! Please,,,0
2889, yeah & when it goes wrong it`s the worst feeling ever,,,0
2890,just got up  Wheres the sun? =O,,,0
2891,_X sorry about that.,,,0
2892," yeah, getting shows can be an interesting process.  the key is following up... at least that`s what i`ve learned so far",,,0
2893,_luca LOL!  I`m glad to see I`m not the only one out there!!!,,,0
2894,Sad that everyone is leaving me.,,,0
2895,  hey hey hey b,,,0
2896,Well its a good thing ``march`` wasnt very long and i didnt like it...cuz its deleted. Ugh,,,0
2897,http://twitpic.com/4jhp8 - Waitin on them 2 tell me what`s the plan,,,0
2898," TAYLOR! are you back in Nashville now..or LA? well, how was your trip? did ya have fun? love ya girly!",,,0
2899,Oh snap... kinda nuts right now... :  I`ve told at least 27  Thanks babes.,,,0
2900, i love cobra starship!!  thanks for the suggestion!,,,0
2901, awwww wat i was gonna buy myself something pretty  nvm,,,0
2902,after I said hi how are you she did at double take & left. **** it I should have let her look around first,,,0
2903, the no tweeting guilt trip didn`t stop you huh?  I felt so bad!,,,0
2904,"My boyfriend just broke his wrist, now he might need surgery  im so nervous",,,0
2905," I agree, keep it in Star Trek but make it commercially viable! C`mon!",,,0
2906, My cats enjoy the sunbeams from the open windows.  I think that counts.,,,0
2907,Signing off. Mom`s day tomorrow.,,,0
2908,"Had a great weekend with One, hanging with Nick & Brendon, church this morning! Can`t believe Loretta won the Mothers Day raffle again!",,,0
2909,  no one told me the mutual admiration society was meeting this morning! LOL  Hi boys!,,,0
2910, is it true you have a part in Neighbours?? I have been brought up watching that show..I wanna be on it,,,0
2911, did you run into someone I know this weekend?,,,0
2912,Is watching 'It takes Two'.... such a classic lol,,,0
2913,Is listening to the new jonas brothers song,,,0
2914,Sexxxy tiiiiiimmmmmmeee!...whatever that means.,,,0
2915,i`m staying up to watch it,,,0
2916,i`m still full from the buffet at palms.  my stomach actually hurts. ugh gluttony bites.,,,0
2917,is feeling really sick,,,0
2918," Pics? Ah, I`ll probably see you at work at some point... Hopefully b4 it grows out too much",,,0
2919, I did for years and then moved over to an IBM compatible.  Would love to have both on my desk!   Can you call me a techie?,,,0
2920, play vanessa hudgens new songs plz or vfactory,,,0
2921,10 minutes to boarding; 14 hours to home. no window seat,,,0
2922,Happy Star Wars Day! May the 4th be with you  (via Nige the Goth),,,0
2923,"Entered house searching mode yesterday... we need to find an apartment in DÃÂ¯ÃÂ¿ÃÂ½sseldorf until the end of August, this one was temporary...",,,0
2924,I`m a lil sad looks like nomore brooklyn 4 a while WTF ,,,0
2925,So much to tell-Only blip is her immune system hasn`t recovered-not yet a newborns. Give it 6 more months.  But that`s nothing.,,,0
2926,"_M ah. knowing microsoft, they could probby do it, but would want to charge way too much extra for it",,,0
2927,is now going to see his very ill uncle on saturday and spend the night at his house as even more bad news has come up,,,0
2928, soooo jelous of you right now,,,0
2929, I work at a movie theatre in Toledo and I`d let you come see it for free. But it`s not in 3D,,,0
2930, and that prob wont happen....,,,0
2931,  I hope when you`re calling this the shitshow you mean that in a good way. because this will be fun.,,,0
2932, Thank you,,,0
2933,also. proof number #2923848932 that I have no life - I have an imaginary boyfriend named Vince. It`s sad that my friends encourage me so.,,,0
2934,Laying with lyndi on drive way. Drinking tea. Listenin to music. Takin pictures. Just a Chillin.,,,0
2935,The sun is shining and I`m stuck in work,,,0
2936,"@_katieedwards I can`t yet back, I`ve run out of texts!  I`ll ring you laters xoxo",,,0
2937,"Come on, man, give me some slack!",,,0
2938,i`m celebrating my mother!!  and also celebrating my legacy as a woman of God.,,,0
2939,Had a gr8 Sunday relaxing enjoying the beautiful weather. Good nite,,,0
2940,Exams are so stressful,,,0
2941,#itsucks when everyone but the one i want to text me is texting me!,,,0
2942," woop rehearsing songs  Yep, sounds even enough to me",,,0
2943,Dell FX100 Pc-over-IP audio device (Teradici) is giving me a hard time in #Linux #Ubuntu Jaunty  Kernel isnt loading the snd-hda-intel drv,,,0
2944,babysitting my hubby cam cam,,,0
2945, that would be great!!!  thanks!!,,,0
2946,_gutter Trent wore that shirt at my show,,,0
2947,_benson  Woohoo! Well Done! I started Macarena-ing too,,,0
2948,Layin in bed awake. Txtin my girl in vegas. Wishin I didn`t have to work and I was w her,,,0
2949, I`m glad/sad that it`s not just me/my iPhone  #badoptus,,,0
2950, so haven`t seen any videos the last few days  hope everything is ok...,,,0
2951,Chillaxing in Hyde park,,,0
2952,"_extacy lol i know eric, i wont delete you! just people i dont really know and never talk. and bands",,,0
2953, I`m going to watch it now,,,0
2954,"at work.. missing my miami fam , , , carolina, , ,  &&& more",,,0
2955,  sitting next to magicmoment,,,0
2956,http://twitpic.com/67ljj - As if teenagers need any more encouragement,,,0
2957,Sick......and no it`s not the swine flu atleast I hope not,,,0
2958," Whoo hoo Chuck! Although it is gloomy out, today is a much better day!",,,0
2959,Sitting waiting for dough to rise. There`s something about it that calms me down. Maybe the knowledge that I`ll have cinnamon rolls soon,,,0
2960,"Up early so washed and waxed the car. I`m sure the neighbours think I`m mad, I wash it nearly every week.",,,0
2961, i want to comment but don`t understand what you`re saying,,,0
2962,"Oh, time to eat and make conversation with the domestic partner.",,,0
2963, Made so many new friends on Twitter around USA. Another bike across USA trip would be amazing to see people!,,,0
2964,Please everyone to vote for me to become the next Maxim Coors Caddy girl...only takes a few minutes  http://tinyurl.com/dloeyu,,,0
2965, jet blue is okay I guess. They cancel flights and don`t have a lot of backup planes. And no first class,,,0
2966, Btw happy mom`s day to hannah and your mom and han`s mom! Yey! Moms unite! This is your day,,,0
2967, Chabibi. It`s a long running joke. I don`t give a flying **** if anyone follows me at all!,,,0
2968,Finally a Black Disney princess.,,,0
2969, I am like the most saddest person on jtv right now because you are not on,,,0
2970, awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye,,,0
2971,  is easier this way in my phone... I will twittpic from my pc later on I did it this morning with p. Diddy pic,,,0
2972,someone WOULD give a speech about loved ones in the hospital. Stupid COMM class,,,0
2973,diiinner  its sooo cold right here D:,,,0
2974, the end when they sing this is me and when they sing play my music,,,0
2975,Good Morning twitters!!! I am soooo tired...I really need 2 stay off of twitter...LOL this **** is taking over my life...LOL,,,0
2976,"wish I could feel no pain (8)  but it`s ok, at least they like Brazil!",,,0
2977,hoping i didn`t fail english. that would just be sad,,,0
2978,i miss dooooooodddddiiiieeee,,,0
2979, Attach him to  after all mammals mammary glands will produce milk.  Or may be formula?,,,0
2980,"Warhammer 40k: Space Marines `officially` announced, only for 360 and PS3.  No luck for PC gamers",,,0
2981,ah! i almost missed snl. thanks twitterfriends,,,0
2982,__  im so sick  I fell over last night outside coz I was putting something in the bin,,,0
2983,That`s how you go from series to season. The days of being an elite team are over in Dallas. EPL Derby Day tomorrow. Tell me what I miss.,,,0
2984,"A singing girl. Talented, yeah. Good to complain about? No",,,0
2985, the kid that got a second chance shudnt have. mowgli didnt. gutted,,,0
2986,  sounds like a challenge then  I can see it would be useful to be able explicitly  schedule threads...,,,0
2987," yes DON`T FORGET the koala pics   I`m pubquizzing tonight in the 11e if you`re back in time. Sinon, mardi?",,,0
2988,Thanks to all who follow me  ... wish ya`ll the best ;),,,0
2989,   Thank you soooo much!!!      Bella,,,0
2990,Good mornin` everyone . Beautiful sunday for all the beautiful moms of ours. Had my breakfast with the lady ....   Lets move on .,,,0
2991," yum, yum.  I love quesadillas....and wallpaper for that matter tooo",,,0
2992,_addict yeah like super short  I guess I`ll just have to hold my breath till Sunday.,,,0
2993,I want to play audition with Anna ~ -mHc-SMOOCH,,,0
2994,Showered in ice-cold water. Sweating now. Means one thing: I`m sick,,,0
2995,Hmmm...strained my back  Hope it`s better tomorrow morning..,,,0
2996,"just got back from the ER... i cut myself while trying to cook a nice lunch  3 stiches on my right index finger, talk about ouchie",,,0
2997,agh! freaking out about going to Wales already! >< not packed!!,,,0
2998,"spray tan = fail on legs and feet. I`ve been scrubbing them and feet look better, but they looked awful this morning  Everywhere else = ok",,,0
2999,_RachineA oh so you said you good-byes and hugs  my dad left around 4 in the morning so I woke up to an empty house i`m pretty scared.,,,0
3000, Can you ask Ryan why he stopped following me on Twitter,,,0
3001,God I just want to sleep.,,,0
3002," Awhhh age doesn`t matter, you awesome lady you!",,,0
3003,getting ready for work,,,0
3004," Haha, true  thankfully the regular keyboard does the job... most of the time.",,,0
3005,LOOPJAZZ  yess!!! ez most bejÃÂ¯ÃÂ¿ÃÂ½n,,,0
3006," go to vegas, but don`t spend all ur money!!!!",,,0
3007,I came home thinking that maybe there was something good to eat. Apparently not.,,,0
3008,new super power camping place -> 24 hr MAC @ Springleaf Tower  ...still eating my fries.,,,0
3009,"I can`t go out when my heart is home sick  even if it is my bday, family health comes 1st",,,0
3010,wondering what misery looks like? look at the faces of all the cubs fans at miller park tonite. sorry chicago friends. tonights our night,,,0
3011,UGH I missed the POTUS @ MY Five Guys!!!! 2 blocks from my house and 3 blocks from my job.  http://www.politico.com/politico44/,,,0
3012,says she wants to be w/ marykay @ sendai right now,,,0
3013,Had a fun late night talk with   Good night world.,,,0
3014," nope, would be no music",,,0
3015,"Prolly going to Jamba Juice in thirty minutes , shop for awhile then hit the airport and see my daddddd.",,,0
3016, Going to see Star Trek,,,0
3017,"is aching from rugby, good game",,,0
3018, its almost your birthday!!,,,0
3019,"may gray, coldplay, and nice showers...work at 2",,,0
3020,its funny you said we`d never make it and look how far we`ve come....  IM BACK ON HEAHHH!  um. yeah. school :/,,,0
3021,aww i feel bad cause i dunno if nicole is in the city looking for me. she`s probably worried  srry hun,,,0
3022, me toooooo! Thank u,,,0
3023,. I want all the soldiers to come home so we don`t have to hear about anymore being killed.,,,0
3024,good weekend,,,0
3025,meeting  and friend tonight - going to discuss human trafficking issues. Daly is chaplain/therapist and an interesting guy,,,0
3026, hmmm they are on offer in Tesco as well but I don`t think the wee one next to me will stock them!,,,0
3027, hes definitely my fav host ever!  Can`t wait to watch the rest tomorrow!!,,,0
3028,"i wanna do something tonight, but that doesnt look very promising",,,0
3029,Guess I have to go back and scrape out the oven now. Blerg,,,0
3030,Happy star wars day everyone,,,0
3031,Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight.,,,0
3032,Having a pj dayy.....Doesnt happen veryy often,,,0
3033," You`re welcome. I`m going to repost several times to get the message out, maybe help another dog",,,0
3034,no so sad about that  i`m from MALTA have you heard about it ?,,,0
3035, me too,,,0
3036,  Enjoy...wish I was there! Nice day in Springfield today..however I have my end of month expense report to do,,,0
3037, oh no!  i`m sorry. at least you`ll still be able to buy regular tickets and not worry about limits?,,,0
3038," haha that was good, slightly geeky but funny  x",,,0
3039,I have a license and a car..at least for now.,,,0
3040, say hello to Marina Green ... couldn`t participate in Barcelona this weeken,,,0
3041, I hope it`s something relatively minor and easy to heal. I can`t stand it when the furbabies get sick.,,,0
3042,"Oh, I`ve just watched the third episode of JONAS, it`s awesome.",,,0
3043,wants to go out tonight but cant get home,,,0
3044, i love Paramore!  welcome back,,,0
3045,"_DAHSAR Thanxs hun, you too!",,,0
3046,@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a **** woke up late... didnt get my breakfast (wakenbake),,,0
3047," Fun to read, thanks! You Brits make things interesting  Funny they whittled 33 saints days to four,... http://ff.im/-2zgfk",,,0
3048,you forgot your fans too!  haha,,,0
3049, I know but unfortunately I`m one of the fifteen bazillions of Americans without health insurance.  awesome,,,0
3050,Just got finished cleaning and putting out my mom`s presents.  Happy mother`s day. I`m going to sleeeeep.,,,0
3051,Getting to play golf with our kickin` Leadership Team...I have a feeling they r gonna kick me on the golf course,,,0
3052,http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad,,,0
3053, ia so much! i haven`t really been happy with any of cooks choices for singles.,,,0
3054,good 1km visible shot of TD one shows total decoupling of the low and mid level centers....this system is DEAD!! Waiting for the next one,,,0
3055,Goingg to school today,,,0
3056,Cleaned out my Followers List and blocked the **** girls & **** Now I look like a spammer,,,0
3057,Watching the 3rd episode of JONAS,,,0
3058,Jogged in the forest with Nina. Heavy wind reminded I need to set up some turbines: free electricity.,,,0
3059,awww i`ve lost a follower i fail,,,0
3060,so sad that no friends everyday for a long **** time,,,0
3061,In 1 horse town + 2 blown out car speakers =,,,0
3062,watching chicago.  honeyyyy im with you I miss me some hey arnold! and wild thornberrys,,,0
3063,pool is still closed  and it is cloudy. what should i cook tonight?,,,0
3064, do u ever answer ur fans on here?? i wish u would. i have a question i`ve been wanting to ask u for months,,,0
3065,_B all the shows are sold out  so I have to wait til tomorrow or sunday...,,,0
3066,soooo sunburnt  my mum was out earlier so i had to wait for her to get in and fell asleep on the trampoline for 2 hours in the sun (U),,,0
3067,"Or this, for that matter: http://bit.ly/SS6Yp  So jealous.",,,0
3068,It`s STILL not working!! Why not!! This is FRUSTRATING!!!,,,0
3069,has has an ok day with jo. She bit me and now its bruised.,,,0
3070," thanks  i have to finish schoolwork today, no rehearsal tonight though. what ru doing?",,,0
3071,isnt going to the movies!! i got grounded,,,0
3072," `erocka the ruler` i called you, but i see i gets the no love   whats up with that?",,,0
3073,"i miss him  ALOT but im not gonna talk to him, i HOPE",,,0
3074,its my last friday of my high school years!,,,0
3075," ohh, i`m watching my best friend`s wedding. it`s so sad..",,,0
3076,On tha` bus,,,0
3077, This is truly enlightening for me,,,0
3078," thanks, I deserve it.",,,0
3079,_bree say hi to the otters! They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,,,0
3080,"  he should be an honourary fluffette, such lovely hair (what`s left  )",,,0
3081,Home from China & back to work,,,0
3082,  Scrub and moisturize... doesnt even sounds like `showering`... maybe u should be inclined to follow me en. rephael,,,0
3083,http://twitter.com/djc_yana ~ yeah. haha! why?,,,0
3084,Michael Cera has a new movie!,,,0
3085,"No school, again. This time cuz im sick.",,,0
3086,Omg! Really? I just ran into a wall,,,0
3087,Got into the show early. Jackson`s chillen. Lil shorty,,,0
3088, Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,,,0
3089,  it sucks no matter where you are! I`m gonna freakin be late for work!,,,0
3090, I do! But I have to go to a dang wedding in madison,,,0
3091, ha... I thought you would enjoy the Family Guy reference... and I`m more bored than you,,,0
3092,"is abit happier at the thought that Ashleigh & Loocie with be here soonish, but sad to miss her S-ane  ;)",,,0
3093,I feel like I`m going to toss my cookies,,,0
3094, hope you had a FAB time!!! Just saw your twitpics ... Love that you wore THE dress. Great pic of D too,,,0
3095,shakalohana week two of flat wavez no surfin,,,0
3096, Cool Guide.. My best Tip.. Do NOT Use Them Unless Absolutely Needed !!!,,,0
3097,My best friend is coming!excited,,,0
3098, Yep- same here. I have to be in the mood 4 it.,,,0
3099," T, im sooooo bored right now",,,0
3100, Sis...I dont think I will be up 4 2nite sadly  Im in alot of pain 2day & had bad nite...can we go out anotha week soon?****,,,0
3101,THIS twitter is driving me nuts...WONT LET ME DOWNLOAD A PROFILE PIC!! ...guess i`ll keep trying!!,,,0
3102,"reaons not worth it; drunk for no reason, depressed about revision, nothing happened. Reason`s worth it:Matt, ...after that? i dunno",,,0
3103,Twitter is slowing me down today.,,,0
3104, say a hi to me tom  please please,,,0
3105, Thought you might be interested in  http://tweetphoto.com. See who`s viewing your photos!,,,0
3106,Sitting with sabbeth in first period.  buhahaha we are so cool -sabbeth lmao,,,0
3107,Chicago rocks my socks,,,0
3108," What you said about aj made no sense,hahaha. What were you talking about? And I loved that picture of you and colin!",,,0
3109,Listening to Hey Zulu - Red n` Meth. Sux to be at work right now,,,0
3110,"I did the dishes and I`m now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",,,0
3111, that and being so careless with her vocals.,,,0
3112,Really really cant sleep  x,,,0
3113,at panera for lunch  byyy myself  aww,,,0
3114,On the way to sthlm - it will maybe be a movie   // cool http://gykd.net,,,0
3115,@_catchfire Happy Birthday Chip`s sister,,,0
3116,whew finally got in to RC..,,,0
3117,"****, my photo is gone!",,,0
3118, this is sounding like the worst lurgy ever - the one that just won`t go away ..  ...are you ready for end-of-rope action yet??,,,0
3119, I AM A CHILD OF THE DIGITAL AGE I USE TWITTER TO ASK SUCH QUESTIONS do not bring logic into this,,,0
