,text,predicted_labels,confidence_score
384, I make that same face when I get home and your mom is watching soaps.,neutral,0.3333333333333333
385,I have to go to work now.,neutral,1.0
386, I can`t believe you went and got boba without me.,negative,1.0
387,"  And to you too, how are you today?",neutral,1.0
388, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,1.0
389,19 days and counting,neutral,1.0
390, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,1.0
391,BRAINFREEZE,neutral,1.0
392,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,negative,1.0
393,"My sunburn is peeling,",neutral,0.6666666666666666
394,perky purple nail polish isn`t as perky when its chipped,negative,1.0
395,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",negative,1.0
396,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,1.0
397,I hate the dentist,negative,1.0
398," nothing aimed at you, just joining in...sorry",neutral,1.0
399,I`m taking a twitter break. Cell is dying,negative,1.0
400, qood morninq,positive,0.3333333333333333
401,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,positive,1.0
402,needs more followers,neutral,0.6666666666666666
403,I wish I could get my nails done  stupid job,negative,1.0
404,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,positive,0.6666666666666666
405, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,positive,1.0
406, Have a good one,positive,1.0
407," yep infact she is popular, miss india 99, talented film actress .... and lot more",positive,1.0
408,Dosen`t Want To Go To Work Tomorrow,negative,1.0
409,Daniel has won DSDS. His voice is great.,positive,1.0
410,[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,positive,0.3333333333333333
411,was hoping to go to Red Lobster this weekend,neutral,1.0
412,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,1.0
413,I sure do hope it becomes 4:20 this afternoon ...,neutral,0.3333333333333333
414, it means that you are now FAMOUS. Congrats!,positive,1.0
415,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative,1.0
416,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,1.0
417,tamlyn wishes she was as cool as my sock draw,neutral,0.6666666666666666
418, so no rice or crusty bread with the chili .... aawww,negative,1.0
419,"  We are of like minds this evening , my dear!",positive,1.0
420,come and save me from my packing please?!,negative,1.0
421,"Yes, I love tea. If that makes me typically English then so be it",positive,1.0
422, a mouth for sure,neutral,1.0
423,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,positive,1.0
424, pancakes!! with lemon and sugar thanks!,positive,1.0
425," Si, no bueno  I guess I just don`t entertain him :/",negative,1.0
426,I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,1.0
427,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative,1.0
428," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,1.0
429,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative,1.0
430,Goodmorning,positive,1.0
431,Took a shift tomorrow.    I don`t really feel like working right now.,negative,1.0
432," I love mine, too . happy motherÃÂ¯ÃÂ¿ÃÂ½s day to your mom , John Taylor  . much love to you, too .",positive,1.0
433,Saw a black snake in the garden.  Went back for a picture and it was gone,neutral,1.0
434,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive,1.0
435,No waterfront anymore   faccia luna and clarendon will have to do,neutral,0.6666666666666666
436,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,1.0
437,Slipped up and caught the flu  feeling like poop!,negative,1.0
438,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive,1.0
439,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative,1.0
440,Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,negative,1.0
441,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",negative,1.0
442," If u do, please pray 4 me.  Lord knows I need it.",neutral,1.0
443,aaaaaw i want to live in the USA,positive,1.0
444,Morning tweeple,neutral,1.0
445," Hey, I didn`t get any !!!",negative,1.0
446, Now you only have 2 hours to sleep...  - Rest if you need it.,negative,0.6666666666666666
447,"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",positive,1.0
448,I don`t want to sit at home on prom night. Someone hang out with me,neutral,0.6666666666666666
449,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,1.0
450,concert tonight  chackin out and not coming tomorrow!,neutral,0.6666666666666666
451, what happened? I thought you were coming back today....,negative,1.0
452, lol dammit  well then next time then,negative,1.0
453, lol. just don`t ever forget me,positive,0.6666666666666666
454, Still jealous,negative,1.0
455,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,neutral,1.0
456,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative,1.0
457,this week of mine was not easy!  but finally it`s over! (:,negative,1.0
458,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,positive,1.0
459,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive,1.0
460," 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral,1.0
461,"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",neutral,0.3333333333333333
462, but you always have lee. Let`s go to Paris,positive,1.0
463, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,positive,1.0
464,cooking with my dad  having lots of fun in the kitchen together,positive,1.0
465,Bouncing Rush makes me feel nauseous,negative,1.0
466,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive,1.0
467,playing singstar without my fave duetter,negative,1.0
468,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",positive,1.0
469," That`s just weird... :\  Oh, and what was it you were drawing for me?",negative,1.0
470,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,positive,1.0
471,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",negative,1.0
472,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",positive,1.0
473,"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",negative,1.0
474, FIL 461 with cool people like me,positive,1.0
475,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive,1.0
476, i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,neutral,1.0
477,my son got stung by a bug for the first time  his little finger is slightly swollen.,negative,1.0
478, it was hours ago i came in.... and it`s only now i realised when i went to buy something online,negative,1.0
479, oh just referring to our lil exchange on LJ with regards to twitter archive postings.,neutral,1.0
480,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,positive,1.0
481,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,positive,1.0
482,Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,negative,1.0
483,I`m missing crab legs and attending my going away instead!,negative,1.0
484,Hicks are mean!,negative,1.0
485,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",negative,1.0
486,"back soon, need to run to the shops and cut the grass",neutral,1.0
487,I`m up. I have a plan to transform my bedroom today. Random.,positive,1.0
488,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",positive,0.6666666666666666
489, thats another sponsor,neutral,1.0
490," And most of us are going to be stuck in an office, some without windows",negative,1.0
491, No it`s not sad. Should make you proud,positive,1.0
492,"   Sorry, we`ll try to keep it down.",negative,1.0
493,is home alone.. Doing hw,neutral,1.0
494,"According to , a quarter of families under six live in poverty.",negative,0.3333333333333333
495,the plan to not spend money is not going well,negative,1.0
496,uploading all my bamboozle pictures of facebook,neutral,1.0
497, congratulations ! you guys finish a month early than we do. booo,positive,1.0
498," actually, I wish I was back in Tahoe.  I miss it there.",positive,1.0
499,"Woke Up,I Wanna Stay In My bed",neutral,1.0
500, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,negative,1.0
501," It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.",negative,1.0
502,_Marie Wish I could make it too!!! I hate my commute sometimes,negative,1.0
503,workin a long day today... hopefully i can make some good tips,positive,1.0
504, but it all went too quick and there wasn`t a chance lol,negative,1.0
505,Hates headaches! Maybe I`m not ready to rock,negative,1.0
506, Thanks for the support,positive,1.0
507,there`s really no android twitter app of Tweetie`s calibre,positive,1.0
508,"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",positive,1.0
509,Nyappy mother`s day to your mom`s.,neutral,0.3333333333333333
510,yeah.... and im gonna take ur picture off my ipod baby..,negative,1.0
511, traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...,negative,1.0
512, lol same here....wish there was a way to microsize everything...lol,positive,1.0
513," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",negative,1.0
514,"_Libertine um, glad you enjoyed it...",positive,1.0
515,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,positive,0.3333333333333333
516, im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative,1.0
517, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,neutral,1.0
518,I miss her alot and its only been one day,negative,1.0
519, sounds like you all had a great night . i`m glad it was successful,positive,1.0
520, Thanks for sharing that,positive,1.0
521, you should say mlia instead of fml  i hope you find it soon,neutral,0.3333333333333333
522,"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.",positive,1.0
523, nah jkin he`s hot! so... bored now,positive,1.0
524,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive,1.0
525, yes i have read them many times.,positive,0.3333333333333333
526, Cuz you play a grown up on Twitter?,negative,0.3333333333333333
527,i am living in ignorance  :@,negative,1.0
528, nope... it is telling you that you want cameo creams,negative,1.0
529, AWWWW  we`re gonna miss you!,positive,1.0
530, WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,positive,1.0
531,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",negative,1.0
532,today was a lovely day! I had fun with  and  this evening!,positive,1.0
533, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,neutral,1.0
534,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",negative,1.0
535, it was amazing,positive,1.0
536,@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,negative,1.0
537,I`m sick and sad .... missing out on Martini Lounge tonight,negative,1.0
538,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,negative,1.0
539,Really wishes he had some spare cash to buy the new Punch Out for Wii,positive,1.0
540,"Aw, not going to Toronto anymore.",negative,1.0
541, So sorry to hear about your mom! that really sucks,negative,1.0
542, I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,positive,1.0
543,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,negative,1.0
544,I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,negative,1.0
545, sweet dreams,positive,1.0
546, hay wats ur AIM? we should chat,neutral,1.0
547,. Okay kool... I might be touring all summer long but we can make it happen!,positive,1.0
548,IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,negative,1.0
549,"Time to watch OP, then some Dead Like Me, then sleep.",neutral,0.6666666666666666
550,Having dinner with my grandma since I couldn`t be with my mum.,positive,1.0
551, haha thanks  its for history and its on how the invention of television has influence america lol,positive,1.0
552, yea so wassup,neutral,1.0
553,"Stupid jobs, idk what to do.",negative,1.0
554,Shopped til i dropped....come bac sunshine i miss u,positive,1.0
555," Like your pics, Lucky Girl, again",positive,1.0
556, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,positive,1.0
557,Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,negative,1.0
558,Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,positive,1.0
559," there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM",neutral,1.0
560, Yes! Join us! All we require is a cupcake donation...,positive,1.0
561,i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,negative,1.0
562,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative,1.0
563, Can`t access your site!,negative,1.0
564,And the Sun is shinning.........at last,positive,1.0
565,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes",negative,1.0
566, nup no cd either.. just a whole bunch of zeros and ones you can have for free,neutral,0.6666666666666666
567,My graduation day... And i feel like a failure...,negative,1.0
568,ops   that lol wasnt supposed to got to twitter,negative,0.3333333333333333
569,"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",negative,1.0
570, What are u going to do today my girl?,neutral,1.0
571,why doesnt he want me anymore,negative,1.0
572,bad hair day,negative,1.0
573,.....headache,negative,1.0
574,sorry guys i didn`t sign in for a while  sorry every1,neutral,1.0
575," I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",negative,1.0
576,mozart`s requiem!,positive,1.0
577," i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",neutral,1.0
578,_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!,positive,1.0
579," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",neutral,1.0
580," OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies",negative,1.0
581, no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.,negative,1.0
582," http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",positive,1.0
583,happy mother`s day mothers.,positive,1.0
584,<---My expression watching this again: http://tinyurl.com/eqbwe,neutral,1.0
585,Stupid bipolar weather ruined my day off,negative,1.0
586, I didn`t want to tell you but I think it`s your body odour,negative,1.0
587, nice beta for easports still no news on the online for madden,neutral,0.3333333333333333
588, thats pretty bad quality and probably the worst pic u posted till date,negative,1.0
589,I missed your calls,negative,1.0
590, Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter,negative,1.0
591,just came back from karaoke & eating dinner with emily. it was sooooo much fun,positive,1.0
592, Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,negative,1.0
593, sure i can talk....the fabulous **** part though is out  sorry dear,negative,1.0
594," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",positive,1.0
595,Just got back from working out. I`m feeling pretty good. work at 4:30,positive,1.0
596,Ahhh My Satz blend didn`t save,negative,1.0
597," So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",positive,1.0
598,DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,positive,1.0
599,My ear are popping.,neutral,1.0
600,working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,negative,1.0
601, I submitted my resume the same day and saw no answer back. Oh well...,negative,1.0
602,Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.,positive,1.0
603,I love when ryans a housewife. Makes me smile.,positive,1.0
604,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,negative,1.0
605, boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,negative,1.0
606, hey Phillll! Wazzuppppp?!,neutral,1.0
607,missed out on westcott micro apollo too,negative,1.0
608, .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,negative,1.0
609,"finally gone to the beach, yeaaaah!",positive,1.0
610,_ranjan Did I ever mention what a nice and awesome dude you are?,positive,1.0
611,"last weekday of doing nothing, school starts next week!!!",positive,0.6666666666666666
612, Hello Gorgeous GIRL! Nice new pic!  HOw are you today,positive,1.0
613,Ok that **** duet was hysterical LOL,positive,1.0
614,"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",negative,1.0
615,michelle is a hot mama with chichis grande,positive,1.0
616," either way, you always tend to make my #followfriday list, sweetie - you do rock that much",positive,1.0
617, no one I know likes boiled peanuts t.,negative,1.0
618,"watched 100th episode of numb3rs. loved how they did a throwback to the first episode, using the sprinkler theory",positive,1.0
619,I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,negative,1.0
620, Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,negative,1.0
621,"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",negative,0.6666666666666666
622,"booziest weekend in a long time, good fun though!",positive,1.0
623,Counting the hours of lost sunshine until the Weekend,neutral,0.6666666666666666
624,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",neutral,1.0
625, Hoooray!  I`m hooked already,positive,1.0
626, Ok then have a good day,positive,1.0
627, I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,negative,1.0
628,Edge left me off the contributors list in this month`s issue.  x FFS. <- Werd,negative,1.0
629," ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",positive,0.3333333333333333
630,im back to this z-index problem...again,negative,1.0
631,is anyone out there??  so bored at work...,negative,1.0
632,Am hating my life at the moment. There`s only so many NOs my delicate little mind can take,negative,1.0
633,www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,neutral,1.0
634, 'They' being the husband or the girl?,neutral,1.0
635,Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,positive,1.0
636,first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,negative,1.0
637,   Hi to one kiwi artist from another kiwi artist,neutral,1.0
638,says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,positive,1.0
639, oooo ok   why  havent you accepted my friends request,negative,0.6666666666666666
640,sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,negative,1.0
641, no,neutral,1.0
642,_michele thanks for that...am now following them...love good causes,positive,1.0
643, Not available in my area  I would too,negative,0.6666666666666666
644,Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well,positive,1.0
645,meeting just in time that iÃÂ¯ÃÂ¿ÃÂ½m trying to win something  prize`s friday!,positive,1.0
646,Waiting for 5:00 & having cramps,negative,1.0
647,philosophy final today! thank you  it`s 3 days now!!!!,positive,1.0
648,"`s plans didn`t go as followed, but its ok",negative,1.0
649, _what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,negative,1.0
650,where is the rain please come out,neutral,1.0
651, My pleasure,positive,1.0
652,1st presentation for senior boards? FML,negative,1.0
653," lol i know but it was just so funny, ahaha",positive,1.0
654,Wide awake and grouchy as ****.,negative,1.0
655,"just when i thought things couldn`t get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",negative,1.0
656, I don`t have the app that does it,negative,0.6666666666666666
657," lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",neutral,0.6666666666666666
658,out for supper tonight with kurumi in 10 minutes,neutral,1.0
659,_kap But I think it`s cute.  Do this every night okay?,positive,1.0
660,Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,positive,1.0
661,  hi mariah,neutral,1.0
662,_Yours13 I`m not at home with my cats right now!,neutral,0.6666666666666666
663, wheres the music mannnn!!?? my inbox is still empty,negative,1.0
664,What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,positive,0.6666666666666666
665," ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",neutral,1.0
666, nice one !,positive,1.0
667,Exam 1 today. Going to get my license renewed  The birthday is getting closer!,neutral,1.0
668,Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,positive,1.0
669,Thinks its gonna rain,neutral,1.0
670," aah. well, have a few friends over there. Just wondering if all`s great and weather`s been good...",neutral,1.0
671,"Yrbook signing w/ evryone was fun, I`m gna miss evrything",positive,1.0
672,I lost my artistic abilities,negative,1.0
673,   so not close enough that I could run out and get one,negative,1.0
674,  That was stone cold   Crazy....  ?,negative,1.0
675,totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.,neutral,1.0
676,_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!,positive,1.0
677,Senior`s last day.,neutral,1.0
678,Crisis: forgot my fringe comb  I`m with men....no one will help me,negative,1.0
679, Already got my ticket; thanks for making sure though!,positive,1.0
680,Thanks to all my new followers!,positive,1.0
681,"  - we`re getting closer rather than further from REAL lobby dates - Chicago, BlogHer09 - squee!!!",positive,1.0
682,Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off,negative,1.0
683,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",neutral,1.0
684,"busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!",neutral,1.0
685,"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",positive,1.0
686,_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- BOOHOOOOOOOOOOO,negative,1.0
687,watching the simpsons,neutral,1.0
688,Good Morning! - Court - Crossfit - Bible Study - Someone very special`s house  http://tinyurl.com/cjs668,neutral,1.0
689, Have a great time in London,positive,1.0
690,"Has work very, very soon. Way too soon!",negative,1.0
691, phaket.  what did anneliese want to do?,neutral,1.0
692,In the emergency room with my cousin. She`s got mad flu and can`t walk or breathe.  Why are hospitals always so cold?,negative,1.0
693,  Thanks for the greeting,positive,1.0
694,I`m hungry  wife is at a Bodyshop Party and is bringing a takeaway home with her - how much longer will the party go on?,negative,0.3333333333333333
695, http://twitpic.com/4wb52 - Such a pretty baby!,positive,1.0
696, Invite them to your house instead,positive,1.0
697, I`m a bit Ben`s Thai-ed out,negative,1.0
698,  #stackeoverflow  http://bit.ly/13Nfk1,neutral,1.0
699,jungle book 2 is sooooo cute.. i have nothing to eat or drink,positive,1.0
700,Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving,negative,1.0
701,_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??),positive,1.0
702," ah, ok  thank youuuuuu!",positive,1.0
703,"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",negative,1.0
704,no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,negative,1.0
705, *points at the gear question I just posted* I cant get the rest of my Dreadweave set,negative,0.6666666666666666
706," You remind me so much of a Omaha Girl, that I use to date.  I guess it all in the Jeans, (Calvin Kleins is what she wore).",neutral,1.0
707, SherriEShepherd gave the link for  http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps,positive,0.6666666666666666
708, I loved him and he was in a mini,positive,1.0
709,  Yeah I`m okay been icing and ace bandage and sitting on my **** on twitter... LOL Thanks,positive,0.6666666666666666
710, you`re so gorgeous!!,positive,1.0
711,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,negative,1.0
712,My laptop grew speakers. Now I can watch Charlie with the sound on,positive,1.0
713, rofl uh huh,neutral,0.6666666666666666
714, This was funny! I have 7.,positive,1.0
715," well doesn`t that look fab, even if I do say so myself!",positive,1.0
716,deadlines!,negative,1.0
717,has a terrible headache.  I need relief!,negative,1.0
718,"Two months ago, I became irrelevant.",negative,1.0
719,Finally sunny days and I`m too sick to go outside and play.,negative,1.0
720, good luck!! How exciting,positive,1.0
721,Working up to my vacation to Thailand. Getting more excited every day,positive,1.0
722, we won`t be home till like next month,neutral,0.3333333333333333
723,"Finally a chance to show genuine love, not dependent selfish love, I hope I can do it. My heart goes out to you and I`m sorry 4 ur pain.",positive,1.0
724," I`m game, too bad your leaving HI!",positive,1.0
725,So screwed for sat 2 us,negative,1.0
726,Just got an IM from another co-worker who just got laid off. Lots of people becoming unemployed,negative,1.0
727, the exact one i was thinking of  the bestttt.,positive,1.0
728,easties you can go there anytime,neutral,1.0
729,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",negative,0.6666666666666666
730," lemme guess - you ran 5 miles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?",neutral,1.0
731,i never knew a dentention was so hard 2 get,negative,1.0
732,pacquiao fight was fun at home wif fam and melissa sat.    today was a mission to ikea. srsly 4 different freeways to ge to burbank.,positive,1.0
733,my nail broke  I haaaaaaaaate,negative,1.0
734, Dang... that IS disappointing,negative,1.0
735, yep,positive,1.0
736, How much longer is the NKOTB Block Party? Love it! I need to go to bed so just wondering what time it`s over..LOL..thanks!,positive,1.0
737,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,positive,1.0
738,Anyone want to buy me this anthropomorphic planter? http://tinyurl.com/m6sru3 Only available till the 31st,neutral,1.0
739,"It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare.",negative,1.0
740,Woke up and there was sun! And then it started to rain,neutral,1.0
741, and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,neutral,1.0
742,hates this weather,negative,1.0
743,Cultural tour 102 by loiusa`s family: kangaroo sight-seeing in cemetary. Lovely,positive,1.0
744,Flap-a-taco was nice until the plebs came in.,negative,1.0
745,"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother`s Day for the first time as a mother.",positive,1.0
746,"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!!  ****",positive,1.0
747,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!,positive,1.0
748, NEW motorcycle and you POPPED a cable already? wow-you ride HARD!,negative,1.0
749,check out the flyer i designed for the notary and retrograde: http://rachellovespeace.blogspot.com let me know what you think,neutral,0.6666666666666666
750, Thanks! Welcome back!,positive,1.0
751, i want to experience snow  we don`t have snow here and it sucks,negative,1.0
752,i have such a sore head,negative,1.0
753,"at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww",negative,1.0
754,awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..,positive,1.0
755, Bryan hasn`t replied about wingnuts,negative,1.0
756,Watching southpark for another 20 minutes,neutral,1.0
757, Thanks Amy!  That video is so awesome!  Did you see TMH?  He`s amazing in that too!! Bouncy Bouncy Bouncy!!!,positive,1.0
758, LMAO...Ha! No I just simply wanted to go to NY!,positive,1.0
759,"is bored, cant go on habbo stupid ban",negative,1.0
760,Tried on all the shoes in new look,neutral,1.0
761,its too early  i wanna go back to sleeep,negative,1.0
762," I don`t think I am, my sisters refusn to get me a ticket now.  what you doing next week?",negative,0.6666666666666666
763, oh wow...hope he`s ok  u take him 2 the vet?,neutral,1.0
764," He died.  Wait, what about Magic Jack? I just read it.",neutral,1.0
