,text,predicted_labels,annotation_correct
389, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,1.0
390,BRAINFREEZE,neutral,1.0
391,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,negative,0.0
392,"My sunburn is peeling,",negative,1.0
393,perky purple nail polish isn`t as perky when its chipped,negative,0.0
394,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",negative,0.0
395,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,1.0
396,I hate the dentist,negative,1.0
397," nothing aimed at you, just joining in...sorry",neutral,0.0
398,I`m taking a twitter break. Cell is dying,negative,1.0
