,text,predicted_label
6226, Ohh poor girl  I`ll email her... I am relying on you being here in October Mr!!,
6227, A friend uses Logic and I must admit I did like it...but I don`t have a Mac,
6228,oh no! I just crashed my ball pump,
6229,Thanks for pointing out the crucial problems . Both of them have been taken care of  (cc: ),
6230,    - Overwhelming lead for Strawberry Lemonade!!  My husband voted for Banana Fosters tho.,
6231,OMFG my favourite jerk chicken place closed,
6232,OMGoodness back to school soon FUN!,
6233," LOL! Yeah, well, same applies to the grocery store.",
6234,   grats to aaron and christine,
6235, LOL I love my MacBook too. Oh and my iMac. Can`t decide which I love more. OK 24' iMac trumps 13' MacBook,
6236,No 1 evr brngs me a starbux!   *~CoRiEoGrApHy~*,
6237,is stuck in traffic,
6238,"I want to go to VP, but no one is willing to come with me.",
6239, I like your HR shirts. They`re inspiring me to think of witty/rude HR-like sayings I`d never actually wear.,
6240,it`s too beautiful to stay inside,
6241,Got people don`t let me skip sci pratical becos skola is impt and cannot waste my parents money.  Nt fair.,
6242,Getting my self a nice cup of tea and turn on some music,
6243," Err, I get that  Now, with the TimThumb, what`s with the url?",
6244,Oh **** ... Placebo tix and Tori Amos both go on sale at 9am. Anticipating hot cake distribution of both.,
6245,"still has half a math worksheet, science WB pages + worksheet, and english to go! feels a sniffle and dry eyes coming along too.",
6246,"_Kay planted in the garden last week, ive got to check on it",
6247," I saw your tweet a couple of weeks ago that had that hashtag, so wanted to contribute since I am a huge Mitch fan",
6248, That`s ok then....  I accept the slave role...  Your wish is my command...  hahaha,
6249,im so tired  &i miss dionee already.,
6250, An expense I could do without at the moment,
6251,why are plane tickets so expensive,
6252, unfortunately I choose sleep over gym almost everyday  trying to get over it!,
6253, He needs to go back to his Scotty. That is what he was using when he won last year,
6254,I don`t want to apply for jobs!!!,
6255," haha no chance, I tweet rubbish back!",
6256,"just woke up..busy busy busy 2day...bake bbyshower cupcakes and jays bday cake, bleach hair again & see my boo",
6257, I can`t really say much because none of it is set in stone.. but I`m planning a charity concert for Cystic Fibrosis,
6258, had a life changing redhead - she got away,
6259,I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,
6260,  Whaaaaaaaaaat?!  Thas HOT B!    Super nice!,
6261,"  hey y`all, we are waiting for final edits on our cover of 'sombody`s baby.'  can`t wait for some input",
6262,too many good shows coming up and no money to buy tickets. fmfl. brand new at the troub?,
6263,"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",
6264," saw a Costa in St Pancras, but didnt have much time to have a drink over there. next time, i`ll try",
6265,Grrrr....I got the wrong size coat for the sheep,
6266,_McFlyy FINALY MY CHANCE HAS CAME. . TO KILL YOU MWAHAHA! ha. not cool. .  ha  ****,
6267, OHHH my bad! yes him  heh heh,
6268," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",
6269,Need a nap  but I have to take 4 trains now,
6270,"Just got back in, and I`m absolutely exhausted, have to be up in 5 hours for work",
6271,*PEN JAM CLEARED* CLICK!,
6272, I KNOW!!!! Its all stormy outside.. and my hair looks cute today..  hahah,
6273, Ahh okay makes sense to start the preparations now then,
6274, then your gaaay!,
6275,juss dropped the wife off I love her so,
6276,"Early Monday,great  Rainy Monday,not so great :|",
6277,wonders when all of these end... hay...  http://plurk.com/p/wy9wi,
6278, http://twitpic.com/4jam0 - Oh it`s so beautiful! I`m happy you had a great time! Heartz,
6279, Better then her getting mad and using the floor,
6280, iPhone is doing that 'not opening downloaded apps' thing and I forgot my cord at home,
6281,Didn`t get to go wakeboarding  but i`ll be good cause i`m having a lush night!,
6282," that made me laugh.  Sorry Grets, but you are not going to the Pool Room.",
6283,"gooooooood night, cant believe tomoroo is cancelled!  but still gonna be a giid night, GNI cant beat them!",
6284,Feeling down again. Today is way too stressful.,
6285, gah! no money..... at least not for bakugan,
6286, Yeah we actually went in the room they were at. I just didn`t look under the counter where they were,
6287,Happy Monday!  Lots of little things to do today!  Tried to water plants out front very early in jammies! Got caught by two neighbors!!,
6288,Take me away,
6289,",:Mother, Happy Mother`s Day.... and to all Mom`s there......  God Bless yhaw all... ?",
6290,"thinking lots of revision tomorrow  woo, hope it a sunny one.",
6291, i`ll go to the movies with you,
6292, I will post it later. Its not on my comp,
6293, awww wish I was there! Have a brew for me B!,
6294," Ntah, I really wanna be there",
6295,is starting to love twitter!!! Facebook-detox diet is working great,
6296,OMG...the heater in my room has been on all day while i was at school & now it`s boiling,
6297,I LOVE CHICAGO.   Tonight was AMAZING!!,
6298, gimme some ! i wanna try it   (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),
6299," You`re welcome, of course!",
6300,  May the 4th be with you too,
6301,wow...you leave facebook alone for the weekend and get 60 new notifications. WHEW!,
6302,ugh im crying again  writing a rant about it on tumblr.,
6303, Not even better than Kapsel cha  Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.,
6304,  its like that with the goo goo dolls for me. Then I heard 'iris' and absolutely loved it,
6305,Getting ready to go study outside while having some fun in such a nice sunny day.,
6306,"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!",
6307,Ashley= getting sick... Ugh I`m losing my voice! Nooo,
6308,I dont like the dentist...they make my gums hurt,
6309,woke up from napping  finally got the sleep i needed,
6310,Ugh.. Fricken Internet is down. Can do like 0 work without it. I want back in college just for the connection,
6311,Heading south on I-95.  Jacked mess around SR 234,
6312, i wud do but im at work   srry ****,
6313,I just got my leavers do dress!!!!,
6314, i feel that!! esp when you know u aint done the wrong  <3 U!,
6315," Im home, phone died thou",
6316,Can`t believe i`m spending my lunch break inside @ my desk,
6317, are you having any problems sending images from Twitterberry  mine just doesn`t want to work ! ****,
6318,"My new design portfolio is finally online: http://www.designia.nl - Still needs some tweaking on the details but it`s ok for now,",
6319,"  I don`t mind whistlers if they are actually whistling a tune, but those who just whistle nothing drive me crazy!",
6320,This world makes me sad,
6321, sure ill follow you hun  ohh thank you are you a subscriber on my youtube?,
6322, I think that plus everyone wants to see if the D-train could keep it going - obviously not.  Hopefully he`ll bounce back.,
6323," mmm, athletic!!",
6324,Missing Everyone,
6325,Playing Monopoly Jr. with the lil one.. Cheating isn`t as much fun when the other person has absolutely no idea,
6326,im gonna fail this test miserably in history,
6327,never expected to hear Beastie Boys in a Star Trek movie... was a super great flick though. *pew peww* -- (phasers),
6328, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,
6329, was being sarcy as usual,
6330,I skip school way too often  I`m rather proud actually.,
6331," lol liking your style Alice tell him you`ve got standards to maintain lol, it`s national Cork girls go wild in london week",
6332, Why do you guys use camera angles that make it look like there are only 200 people in the building?,
6333,I lOve this day  No school --> studyin` quietly,
6334,I got paint in my hair,
6335,  Hello there hope your over your flu now,
6336,"Home. Should be in the bed, but I`m just super duper excited about tomorrow.",
6337,haciendo mi primer app con Thin + Rack + some crazy stuff...,
6338,but now my feet really hurt...,
6339,"sooooo, i just dropped my phone.  don`t text or tweet me, i`m currently banging my face against a spike covered poison ivy infested wall.",
6340,nobody loves me on twitter,
6341,@_finn_ Except I dropped him on my break and now he`s got a ding in his side.  At least it wasn`t the screen.,
6342,"enough for today, good night all",
6343,spent all morning watching Eddie Izzard`s Glorious! SO funny... realli shud hav studied thou...,
6344," Lmao, when I was camping, the water in the shower was well water and just smelt nasty",
6345, switch to something else then,
6346,just got back from Mcfly concert ahh it was so amazing! and I am now in love with David Archuleta,
6347,getttin ready.,
6348, i dont think you can vote anymore! i tried,
6349,why bother  at celebs? eh? cause it`s almost like talking to them,
6350," DON`T PANIC! Hehe, it will be fine. Email it to me",
6351, Iiight thanks.,
6352,Constructivist learning theory - anybody? Oh wait..... there`s always wikipedia right?!,
6353,The most epic weekend I`ve had in atleast a year. Night cap with _matthes and . 2 hours of sleep in 3 days! Goodnight,
6354, yes  lol,
6355, But can you breathe OK?,
6356," Hey babe follow me,love u on da show",
6357, I`m inclined to think it`s stupid.,
6358,Good morning!!!! Yes is 5:57am,
6359,There is a baby cardinal fallen out of its nest. I dont want to get attacked by the mom bird but i dont want the dog to get the bird,
6360, I heard from  &  you`re away. I miss you too  Look forward to tweeting with you when you return.,
6361,KMF going smoothly so far. Free stuff is always a plus.,
6362, I was hoping I could just drop them into ~/.vim so both Vim and MacVim could share them,
6363," Oh no, but that means that you won`t be able to get pwned by my shottie this weekend",
6364," We don`t really offer that service as we`re web/graphic designers and not desktop publishers. So, I thought maybe you could help?",
6365,SUNNY DAY!  going down to Stonehenge with my parents...,
6366,At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!,
6367,_west one day the hubs and I WILL take one of those. There`s actually a missions cruise that we want to go on. It has music too.,
6368,Happy Mothers Day! allergies are ****. Oh and I hope Miller has a better day too,
6369, thats a bummer i haven`t got one yet :/ been waiting over a year  grrrrrrrrrrrrrrr,
6370,just because you`re a superstar it doesn`t mean you have to do that !,
6371,watching HGTV at 236am lol wtf must love me some home decor,
6372,"In bed eating chocolates after 2 super parties, yay  playing with the new camera - could I be an amazing photographer?",
6373, yeah that will keep my mid section down,
6374, For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,
6375, omg i had that book its soo funny,
6376, Morning! Are u back in blighty Bill? Hope u had a lovely time away,
6377,Passing out  early  after the  river sounds amazing. To my cozy bed  with my cozy dogs,
6378,heyy  watching the simpson  with shezza and paula,
6379, hi Add me.  it`s shannen,
6380, your right. im so jealous i wish i had gangsterrrr pants like your grandma,
6381,hey twitter! i`m back online!,
6382,"  Lupo`s is a bit far for you methinks, luv. They`re an hour out of my way in Providence. I love Providence.",
6383, Happened to me the other day.  Was wearing a necklace that made a white spot on my chest.,
6384," Never touched a drop, me!",
6385,is a college graduate,
6386, ah  Hate it when that happens! The Race to Erase MS is this week. Are you going?,
6387," It was crazy all day today and I have a feeling it`s going to be that way tomorrow, too.  Enjoy your couple of days off though",
6388,pretty tired after a nice full day.,
6389,Happy Star Wars Day  Im going to make some pasta get showered and dressed and then watch some films. I like days off. I have 3 days off,
6390,_SUPRNATURAL  ok thanx very much u can send me the answer by private mail if u like but would be sooo cool wish i was in birmingham,
6391,"has gone through about 6 tea bags , call me obbsessed , i say thirsty",
6392,_Molecule where is Sackiroth,
6393,It`s too perfect outside to be at work,
6394,Feeling like **** today. Hopefully a nice relaxing swim will do the trick,
6395,This is great!  I just found out that it`s Star Wars Day.       'May the 4th' be with you!  Have you hugged your Ewok today?,
6396," Wah, why are you sad?",
6397,Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show,
6398, thanks  this one will be a hit.  has been a patron since 2001,
6399,*[ It`s time for TSCC!  ],
6400,Back in Athens! Had great time in Budapest,
6401, Whole Earth Festival,
6402,check out this funny movie  http://tinyurl.com/d3qwar,
6403,So lost  on my owm tryinh to find matter in the o2,
6404, well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it`s worth the wait!,
6405,happy mothers dayy,
6406,"got tickets to go with dad and his girlfriend to see Eric Clapton, Steve Winwood, and the Arc Angels on June 24th @ Toyota Center! WOO!",
6407,Beautiful morning here in the mountains,
6408,"I just broke a bottle, I should probably focus on work instead of thinking of more songgoeswrongs",
6409," Whoa man, now THAT was a great one. I went to Heaven for 5 seconds. U know why lah but pls shhh. LOL. So sorry u weren`t there!",
6410,My car is in the car hospital for the nxt 7 days  I gotta go pick up a loaner car b4 6! Bein without wheels 4 7day will set me back heavy!,
6411, ouuhh dont cry  i feel so sad right now,
6412, I had to find out via twitter,
6413,snotty nose  poorly chest! this is not good!,
6414,John john and I just switched the meaning of PIMP to someone who still pwns at halo when they`re wasted  hahahaha Another amazing night,
6415,http://bit.ly/qiPUU  Jon 4 Lakers Video Blackberry,
6416, all the photos  niceeeee,
6417,G`morning Twitter World   A relaxing family Sunday methinks,
6418," i just got mine, but it wouldnt let me call you",
6419, why you never answer me...,
6420," sunny, I`m a workin` on it. It`s very much in progress! Will let you know when it`s up",
6421,http://twitpic.com/4jb0q - And a few more,
6422,On the bus to NYC   http://yfrog.com/08kaifj,
6423,"  we`re gonna miss you. dont worry, there will be more for sure!",
6424,home from work today.....son is sick,
6425,_n_booklife I heard about that too... that seems an overreaction...,
6426,a chilled day  party tomorrow.,
6427, yes i am and i was ready to go when i got here. ugh  and its sooo pretty outside..,
6428,Ryan Stiles is still the funniest man ever. Got some great news and some not great news tonight. So happy I could burst,
6429,too bad i`m @ work  ...,
6430, you can explore the site 2 and find cool stuff,
6431,Annoyed,
6432,_Girl OOC sorry we keep missing each other...,
6433, And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!,
6434,Is now back at the school working on the bach.project,
6435, or least for the firmware upgrade. just buying some time until I get my tax return really,
6436,this weekends abouttttto SUCK,
6437, I don`t mind Sam. But I liked Kate more.  I don`t like Chris. He`s smarmy.,
6438, Thanks for the Gifford Lectures page,
6439, BTW I STILL can`t believe how Awesome the NEWJABBAKIDZ performance was...U in the masks..I screamed at my pc,
6440,_chapman #whuffaoke is the same night as  at Gillette Stadium!,
6441,Madly in love with The Row..wishing i had money,
6442,Babysitting. Text me and keep me company,
6443, I MISS U CEDDY,
6444,Happy Mother`s Day to all the mothers,
6445," I`ve never seen any of the X Men films but they are supposed to be good so I thought, why not?",
6446,_w thank you..,
6447," I got my copy yesterday, too, although right now I`m digging into Scala, so can`t read it just yet...",
6448," Good for you! I don`t think I`ll be joining later. I`m hyper as hell, though. WHEE!",
6449,just found out my friend`s dad passed away yesterday,
6450,"This wraps it up. Well, again a lesson that you shouldn`t take **** photos of yourself when you`re famous. Or maybe you really should!",
6451,"twitter,facebook,myspace...no phone still",
6452,"Wanted to take a photo of the storm, but misplaced my camera!",
6453, Indeed. Have a nice week!,
6454,im at home....on a friday night.  but it`s all good!,
6455, You`ve made me look at old pictures of my cats.  I want them to be kitties again,
6456," I know! I can barely believe it`s almost over! Thanks for the review, lovely!",
6457,Well it`s after 6 and i didn`t get a call back  oh well,
6458,I don`t know what my Mom gave me to clean my Macbook with but it is SO white now. It was tinted grayish blue from my black desk.,
6459,Just had a horrible experience with a dentist.  Had a crown made that doesn`t fit right and they won`t fix it or give back the money.,
6460,just got sold out from UP,
6461, Don`t count on it,
6462,Playing some games before I leave for work   Work til at least 11PM tonight.,
6463," great. so you`re saying *I`m* old, being 28 and all??",
6464,"Am good thanks, what`s Miami saying? How come u wrote to me?",
6465," can`t.  wish I was sleeping. Gotta be at work in less than 4 hours... Wait, what`re u doing up???!",
6466, have fun on flashy fed hill..im sure you`re imported cheeto eating **** will fit in lol,
6467,"Looks like rain again  Oh well, it will give me a chance to work on a new crochet pattern I have in the works.",
6468,"It`s the weekend, its sunny..... and I got another puncture!!!",
6469,My 2 favorite things. Fuzzball and Swine Flu  http://tinyurl.com/dhpol7,
6470, What are you reading?,
6471,**** you rhinitis! boohooo my poor nose,
6472,3rd day of pain,
6473," Sweet deal! I so want to see that movie! Methinks we may have to do a Star Trek movie night some time, hmm?",
6474, hahahaha omg you win the internetz today!  'Why are you trying to turn me into Zac Efron?' hahaha,
6475,_music aah i stopped getting your updates on my home page!!  saddd..im guna re-follow you ..it worked with tswift,
6476,  darn! now we have to go through the WHOLE weekend without em`,
6477,is having headache and colds...,
6478,"hungry, but don`t have an appetite",
6479,This 'Monarchy' is gonna bleed ALL of us dry! We are nothing more than slaves to the pigs in D.C. I don`t reconize my country anymore!,
6480,"A lovely weekend away at Kits Coty, now relaxed and well rested and ready for the week ahead.  Back on NNC in two weeks",
6481,I had 2 hoes .. now I have none,
6482,Ok getting the pink stripey one it`s the most subtle I`m a bit bored of the floral print! Ok?,
6483," HEY, BABEE. ) LOVE YOOOOUUU. >< RP time.",
6484,"uft im tutoring the lil sis  shes so cute, even though shes an eighth grader :p",
6485, wow thats impressive! luckily im not in rush but i feel for friends who aren`t getting any younger but cant move house  tricky,
6486,Sitting by myself. Everyone took the good seats.,
6487,_PaulEvans heyyyyy boo,
6488,is going to drink a mojito and lay down to watch movies with my hubby. Goodnight fellow tweeters,
6489, maybe you need to start a 'wholey created by evolution' or 'wholely composed of matter' flickr group,
6490," - crazy fun! You make that man be nice!  Sri Lanka is a spiritual place, yes?",
6491,Happy Mother`s Day to all Mothers out there,
6492,"And figuring out how to watch Middlesbrough games next year, after the dreaded drop.",
6493,is jealous of his family  their all having an amazing breakfast and all i get is rice crispies,
6494,"maxin` and relaxin`, almost bed time",
6495,This is why I got best dressed,
6496,In the university with hungry!!,
6497,kids out for summer/ pool has been taken over/ no more tanning girls  #haiku #yayschoolisout #sarcasm,
6498, haha that sucks! actually mine is worse. mines ft math  eww,
6499,Happiness is like peeing your pants...nobody can see it but only you can feel it`s warm sensation,
6500,"sooo tired, I wish I had time for a nap before work",
6501,I dont get twitter  Someone help me!,
6502, i know u r!  i wont be there til the 6pm service..will u be there?,
6503,"Top 20 ways to go green! http://tinyurl.com/otjttu - this is pretty helpful, and kinda cool actually",
6504,It`s Raining!,
6505, not at my workplace.   but a short-sleeved shirt is absolutely necessary today!,
6506,Cant sleeeeep & i miss my long hairrr,
6507, I want some....LOL  I got the coffee ha ha,
6508,Finally upgraded to Spotify premium - exceeded my threshold of awesomeness some time ago. Now where`s the iPhone app & remote ?,
6509,You should retweet others good tweets at least 10 a day to get involved into things at twitter,
6510,And the sun is back up again.  Could we have more of the kind of weather we had last January and February? I like jackets.,
6511,Recogns he could get his assignments out of the way by June  bring it on,
6512,better get some sleep soon. she has to get up and go to Sunday meetin` so she can pass out invites to her jewelery party.,
6513, congratulation  about the icehockey victory against switzerland..,
6514, You can go to www.TwitPic.com and log in with your Twitter details to add pics,
6515," hey!  not much, you?",
6516,stayn @ home from school. sick. doc says I have bronchitis,
6517, yummmm make sure u leave some 4 me im home cleaning up working mad hard,
6518,says I LOVE YOU MOM  http://plurk.com/p/svm0w,
6519," download iEmoticons from the AppStore. 0,79ÃÂ¯ÃÂ¿ÃÂ½. But cool",
6520,Relaxing,
6521,  hi kendra whats up? follow me,
6522,relaxing night at home with best people,
6523,Anyone having twitter issues? It`s eating my tweets.,
6524," i know, i was on the list, but had to miss out b/c of conflicting plans  how did it go?",
6525,work is depressing the hell out of me  i want someone to fukin come on holiday with me in august,
6526, It is! Wish there was one in our area.,
6527,back at work  its too warm to be in here today!!!,
6528,"  Now there`s a question for 140 characters   One of history`s great unanswered what if`s, I would say",
6529,"ok, i`m actually going to sleep now =] i`ve been on here only an hour...i tweet far too much already",
6530,  thanks for following!  pretty complicated id you have there lol,
6531," ur taking tease lessons from the guys! No fair   LOL, oh well, we`ll wait as patiently as we can!",
6532, I miss you too,
6533,going to take my sociology exam   and back to bed,
6534,going to bed soon,
6535,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,
6536,_prototype09 no where I`m working for a bit up here,
6537,This is going to be a great and productive week - I can just feel it!!!  POSITIVE THINKING is the key,
6538,#firefly weekend on SciFi channel  I`m a happy man,
6539, Worried about our Arabelle. Tweet please. Or text.,
6540, hmm...your blog won`t let me post a comment.,
6541,"im backkkk!!!!!!!! hungry as hell, havent ate today",
6542,Feel so depressed that I couldn`t save it... Thanks for nothing!,
6543, #steel toe boots - Good to hear that you`re comfy. Hopefully they are Kodiak or Terra brand,
6544, yeah i work 7 days,
6545, I used to row in high school and just found out there is a rowing club ten minutes away from me so I thought I should sign up,
6546," Tom, get ready, here in Porto Alegre is really cold",
6547, - haha you do that mate  btw have you seen a film called american history x starring edward norton,
6548, more coffee,
6549, you`ve go mail,
6550, my monday starts on friday  but @ least I only work 4 days a week (long days),
6551, next time? I might not get there this time if the bus has anything to do with it,
6552, good morning hun! i loved the movie what happens in vegas~ it is such a good movie,
6553,I sure do wish my mind could enter that box called 'nothing' that men have.  My brain just won`t go there... and it`s exhausting.,
6554, Sorry we couldn`t get the projector working with the windoze laptop  but a ton of people came up afterwards and saw it live,
6555,Back at homes hmm.. i rly am going to miss my boo for 2 days like wtf,
6556, Thank you for the rec but that doesn`t work,
6557,Long day at office again. Tiring week,
6558," I`m sorry, Andrew. I wish there was something I could do...",
6559, You`re going to the UK?! Take me with!,
6560,I`m really excited that I`m a Queen Bee on the Power Mom 50 List  I feel really REALLY honored. #nielsenpowermoms,
6561,"was in Palawan a couple of days ago, i`ll try to post pictures tom.",
6562,Clive it`s my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106,
6563,no new episodes for hitman reborn yet,
6564, yay! You`re on twitter!,
6565,"Mucking about on Guitar Rig 3. The demo, that is",
6566, goood,
6567,Hmmm.... My whole body feels sore!,
6568,Wat a nice day it was 2day!me and rachel decided to walk to work and walk back lol..was so warm inside tho,
6569," I get motivated by the fact that I know I`ll wake up and be more productive if I go, then if I sleep in, just me though",
6570, You needed to watch the White House Correspondent`s Dinner. That would have cheered you up!,
6571,_ I`m so tired I think imma go to bed,
6572,No shoes for me.,
6573, I`m with you there - filing is so much less fun than sorting cos you still have to look at it & hunt down details,
6574,I WILL CRY!!!!!!!!    I can`t believe that I lost the chat!!!,
6575,We`re not gonna be able to talk again,
6576,Cool. Cant wait for dustbin baby,
6577,17 Again was actually quite good considering...off to bed now. Long day tomorrow. June 12th...please come soon (but not too soon),
6578,hapee mother`s day t all the mothers out there!,
6579,GASP] pulleaase dont hate me if u ask me a question and i dont answer you ... at any given time. i just cant see you! sorry,
6580, Congrats on your bike ride today.. Very impressive indeed.. Ya might be doing` the 'Tour De France' some day,
6581, haha. Okay.  have fun with that. Haha.,
6582,Today was eventful...,
6583,ohh **** i just realized she still not talking to me  it b like dat some times..,
6584,"can`t wait to get his hands on his new blackberry, this one is dying on me",
6585,"14 hours later, I am still too drunk to drive... For shame on me for letting myself drink that much. I am not in peak spirits right now.",
6586, i know i really wanna do some more stuff im out of school in the next week so ill have a few free days a week... ill hit u up,
6587,my little booboo is sick,
6588,Happy mothers day to all the mothers out there!,
6589,you can`t please everybody.  http://plurk.com/p/x32rz,
6590,"Omg I just woke up after only sleeping for 3hrs, and my arm is just aching... It hurts so bad",
6591, wow. hehehe. mushy-mushy mode.,
6592,Eh.. it`s cold,
6593, hey cant wait 4 u guys 2 come over 2 jersey woop.... hope ur lookin 4ward 2 it coz we r  x,
6594," Thanks, it`s just too good for TV, simple as that.  #dollhouse",
6595,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I`ll forget -_-,
6596, good,
6597, Your post reminded me to sit something out. Looks like steak for dinner,
6598,Sturday night live,
6599,I wov you,
6600,It smells badly of garlic,
6601, ok i believe you.but i have a belly button.lol,
6602, Wow thanks a lot!  I can`t believe I didn`t think of that. XD,
6603," no wayyy, that`s too funny.  well he sure is missing out, but ever since you left, i feel i am too  when is your next visit?",
6604,"AAAAARRRRGGGHHH! there is a huge spider in the towel pile, *cries* glad Kerbear isn`t here  sorry mum cant bring the rest in",
6605, looks same in Noida too,
6606,Daisy just got attacked by another doggie in the park,
6607,: Well that is just completely lame. I`m sorry dude.,
6608, we watched that one day in the middle of playing-- it REALLY doesn`t hold up,
6609,_Charlotte We should! There will be another thrown I`m sure but this one will be with my American family,
6610, im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that,
6611,"_lantos Jeff can`t Forcast tonight.  He says Saturday he`s good at 8:30 your time. If,you knowÃÂ¯ÃÂ¿ÃÂ½ you don`t have A LIFE on Saturdays.",
6612,"Just found out I want be able to go see my daddy tomorrow before he leaves because Ty has an activity tomorrow morning, that sucks",
6613,  wut itell u yesterday lol,
6614,Waiting at the car wash to see what they say about Amara.,
6615,got 34/40 for exam 1... percentage doesnt look good.,
6616, i think i have mine in hangers in the closet,
6617,_carter It says the video is private,
6618, i think i been followin u 4 bout a week so yea kinda,
6619," Just wanted to point out that on Youtube, you have more subscribers than Tom Felton. Thought that might make you happy.",
6620,my guys call me ``BartÃÂÃÂ ofÃÂÃÂ theÃÂÃÂ criticalÃÂÃÂ questions``. I`m guessing that`s a good thing.  #zeropoint.IT,
6621, I missed Match Game tonight    I hope I make it tomorrow night.,
6622,Guess this is a 24-48 hour maintenance.. I`m so sad I miss my friends,
6623,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,
6624,~ Happy Star Wars Day.every one ~  ...may the fourth be with you!,
6625,Can`t I mix and match  Dumb drive in!,
6626,"Heading to the hospital to sort out my back, not looking forward to this",
6627, i feel u  but its sooo close to me hard not to  but i cant so no point ugh,
6628,love it when jonas brothers are in the trending topics. maybe taylors turn next,
6629, Cant wait && Cant wait to see the 3d concert experience (i live in the uk) the was the trailer at the cinema yesterday.,
6630, so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late,
6631," noboby`s behind. I think I lead with $14,8 so far",
6632," Weekend was quiet, just planning new websites. Today, research and choosing hats. Coffee hat sounds good though. Kettle on",
6633, aww hope uve hada good day  xxxxx,
6634,I want a new lappy,
6635, Have a great day..... if the rain keeps up I may go swimming instead of dining here,
6636, haha dont we ever do that before  many times,
6637,is really really ready!,
6638, I can`t vote for you  they have stopped the voting,
6639,watching JONAS,
6640, same thing happens to me all the time,
6641,in about 30 minutes Happy Mothers Day to alll the amazing moms out there!!!  going to bed!!,
6642," Aw you named your car, that`s very sweet. I`m sorry to hear that Petey has to go, I hope you find a really posh rollerskate.",
6643,"goodnight and good bye to all of you, hope you have the best of dreams",
6644, Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!,
6645,Installing a new hard drive! Gotta redo everything though,
6646,Twitter is officially the BEST way to advertise something.,
6647,Unfortunately these heffas decided to take an impromptu mall trip without telling me,
6648,Just saw a land rover pull into the school parking lot and thought it was spencer,
6649,Raining in Calicut.,
6650, commercial shoot in Tokyo. not much time to play there   quick and dirty,
6651,Sims 3 wouldn`t work on my old macbook  hope to get Sims 2 by tomorrow.,
6652,_EN  we`re waiting you here in Belgrade!! Can`t wait!!,
6653,When I check google analytics I can always get to google.com/**** before Safari`s auto-fill kicks in. Makes me laugh,
6654,Happy Mother`s Day Mom! I love You!,
6655,Looks like no diamond ball for me,
6656,"Hmmm, I just realized....I didn`t have any bday cake for my birthday...boo hoo!",
6657, at least she doesnt try to violently hump you like my (female) dog does,
6658,Early lunch then getting all dressed up for Amy`s confirmation,
6659, Interview! 177 views! 22 away from 200!! Thanx for reading ppl!!  http://tiny.cc/GmKbT #mattmccoy,
6660,  you might have missed my latest experiment - I know blogs have too many words these days  http://tinyurl.com/ne6twc,
6661,Ugh worried about my math test,
6662,on no bsg might just have made me cry,
6663,planning for mothers day special for my beloved mother,
6664,greeting you all a happy mother`s day!,
6665,Gotta love nasty weatherrrrr.  so jealous ur at knotts,
6666,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd,
6667, haha.. good for you,
6668,Would like some Nutella. None to be had,
6669,I don`t think I`m very well. Just in time for the weekend,
6670," awwww  I`ll be waiting then, hope it doesn`t rain",
6671,"My leg broke, now I am waiting untile i can go again",
6672,_cali Good morning,
6673, Awww  You`ll Be Fine...,
6674,i really should stop relying on my family when they say their going to get me lunch,
6675,Just finished first workout on Jillian Michaels 30day making the cut program!  Feeling great  Hopefully the eating will be just as good,
6676,"   No, seriously you guys, I /wanted/ to kick Monday off with #starwarswithaddedpants spam.  Really",
6677,Just got back from Carlton in Greenville.  Benz is getting serviced.  Time to make some money.    I think I`ll make some sales calls...,
6678,"_jean Now that I think about it, when I get to the States, they`ll probably still be touring, so they won`t be there  Dammit!",
6679, it wouldnt let me vote yesterday  but i made up for it today. i really hope u win cause everyone knows u deserve it =D,
6680,my parents sold my car.,
6681," hah yeah, its that bad, not gonna lie. :o Have fun",
6682,  pleasure  anytime,
6683,"curses, firewall/proxy server restrictions!  it will have to wait until I get home",
